tx_id,date,store_id,product_id,quantity,gross_sales,discount,net_sales,customers
1,2024-01-01,1,101,67,201.0,0.0,201.0,112
2,2024-01-01,1,102,67,335.0,6.7,328.3,112
3,2024-01-01,1,201,12,300.0,0.0,300.0,112
4,2024-01-01,1,202,19,950.0,0.0,950.0,112
5,2024-01-01,2,101,63,189.0,0.0,189.0,83
6,2024-01-01,2,102,66,330.0,0.0,330.0,83
7,2024-01-01,2,201,13,325.0,0.0,325.0,83
8,2024-01-01,2,202,12,600.0,0.0,600.0,83
9,2024-01-01,3,101,60,180.0,0.0,180.0,80
10,2024-01-01,3,102,73,365.0,0.0,365.0,80
11,2024-01-01,3,201,9,225.0,0.0,225.0,80
12,2024-01-01,3,202,15,750.0,15.0,735.0,80
13,2024-01-01,4,101,49,147.0,0.0,147.0,99
14,2024-01-01,4,102,65,325.0,0.0,325.0,99
15,2024-01-01,4,201,10,250.0,0.0,250.0,99
16,2024-01-01,4,202,8,400.0,0.0,400.0,99
17,2024-01-01,5,101,99,297.0,5.94,291.06,143
18,2024-01-01,5,102,113,565.0,11.3,553.7,143
19,2024-01-01,5,201,29,725.0,14.5,710.5,143
20,2024-01-01,5,202,17,850.0,17.0,833.0,143
21,2024-01-02,1,101,64,192.0,0.0,192.0,98
22,2024-01-02,1,102,44,220.0,4.4,215.6,98
23,2024-01-02,1,201,11,275.0,5.5,269.5,98
24,2024-01-02,1,202,15,750.0,0.0,750.0,98
25,2024-01-02,2,101,31,93.0,0.0,93.0,75
26,2024-01-02,2,102,36,180.0,0.0,180.0,75
27,2024-01-02,2,201,6,150.0,0.0,150.0,75
28,2024-01-02,2,202,13,650.0,0.0,650.0,75
29,2024-01-02,3,101,65,195.0,0.0,195.0,83
30,2024-01-02,3,102,54,270.0,0.0,270.0,83
31,2024-01-02,3,201,13,325.0,0.0,325.0,83
32,2024-01-02,3,202,10,500.0,25.0,475.0,83
33,2024-01-02,4,101,55,165.0,0.0,165.0,88
34,2024-01-02,4,102,48,240.0,0.0,240.0,88
35,2024-01-02,4,201,16,400.0,0.0,400.0,88
36,2024-01-02,4,202,5,250.0,0.0,250.0,88
37,2024-01-02,5,101,90,270.0,0.0,270.0,145
38,2024-01-02,5,102,94,470.0,0.0,470.0,145
39,2024-01-02,5,201,15,375.0,0.0,375.0,145
40,2024-01-02,5,202,16,800.0,16.0,784.0,145
41,2024-01-03,1,101,45,135.0,0.0,135.0,86
42,2024-01-03,1,102,52,260.0,0.0,260.0,86
43,2024-01-03,1,201,12,300.0,6.0,294.0,86
44,2024-01-03,1,202,17,850.0,0.0,850.0,86
45,2024-01-03,2,101,50,150.0,0.0,150.0,78
46,2024-01-03,2,102,63,315.0,0.0,315.0,78
47,2024-01-03,2,201,9,225.0,4.5,220.5,78
48,2024-01-03,2,202,11,550.0,0.0,550.0,78
49,2024-01-03,3,101,81,243.0,4.86,238.14,103
50,2024-01-03,3,102,80,400.0,0.0,400.0,103
51,2024-01-03,3,201,12,300.0,0.0,300.0,103
52,2024-01-03,3,202,14,700.0,0.0,700.0,103
53,2024-01-03,4,101,61,183.0,0.0,183.0,99
54,2024-01-03,4,102,65,325.0,6.5,318.5,99
55,2024-01-03,4,201,13,325.0,16.25,308.75,99
56,2024-01-03,4,202,7,350.0,7.0,343.0,99
57,2024-01-03,5,101,81,243.0,4.86,238.14,101
58,2024-01-03,5,102,73,365.0,0.0,365.0,101
59,2024-01-03,5,201,13,325.0,0.0,325.0,101
60,2024-01-03,5,202,20,1000.0,20.0,980.0,101
61,2024-01-04,1,101,43,129.0,6.45,122.55,71
62,2024-01-04,1,102,40,200.0,0.0,200.0,71
63,2024-01-04,1,201,4,100.0,0.0,100.0,71
64,2024-01-04,1,202,8,400.0,20.0,380.0,71
65,2024-01-04,2,101,54,162.0,3.24,158.76,88
66,2024-01-04,2,102,55,275.0,5.5,269.5,88
67,2024-01-04,2,201,13,325.0,0.0,325.0,88
68,2024-01-04,2,202,10,500.0,10.0,490.0,88
69,2024-01-04,3,101,75,225.0,0.0,225.0,119
70,2024-01-04,3,102,90,450.0,0.0,450.0,119
71,2024-01-04,3,201,10,250.0,12.5,237.5,119
72,2024-01-04,3,202,14,700.0,0.0,700.0,119
73,2024-01-04,4,101,66,198.0,0.0,198.0,83
74,2024-01-04,4,102,55,275.0,5.5,269.5,83
75,2024-01-04,4,201,9,225.0,4.5,220.5,83
76,2024-01-04,4,202,11,550.0,0.0,550.0,83
77,2024-01-04,5,101,72,216.0,0.0,216.0,110
78,2024-01-04,5,102,70,350.0,17.5,332.5,110
79,2024-01-04,5,201,11,275.0,0.0,275.0,110
80,2024-01-04,5,202,12,600.0,30.0,570.0,110
81,2024-01-05,1,101,73,219.0,10.95,208.05,107
82,2024-01-05,1,102,67,335.0,6.7,328.3,107
83,2024-01-05,1,201,12,300.0,0.0,300.0,107
84,2024-01-05,1,202,19,950.0,0.0,950.0,107
85,2024-01-05,2,101,45,135.0,2.7,132.3,77
86,2024-01-05,2,102,46,230.0,0.0,230.0,77
87,2024-01-05,2,201,12,300.0,0.0,300.0,77
88,2024-01-05,2,202,12,600.0,30.0,570.0,77
89,2024-01-05,3,101,64,192.0,3.84,188.16,97
90,2024-01-05,3,102,57,285.0,0.0,285.0,97
91,2024-01-05,3,201,10,250.0,0.0,250.0,97
92,2024-01-05,3,202,18,900.0,0.0,900.0,97
93,2024-01-05,4,101,61,183.0,0.0,183.0,105
94,2024-01-05,4,102,57,285.0,0.0,285.0,105
95,2024-01-05,4,201,17,425.0,0.0,425.0,105
96,2024-01-05,4,202,15,750.0,0.0,750.0,105
97,2024-01-05,5,101,97,291.0,0.0,291.0,126
98,2024-01-05,5,102,83,415.0,0.0,415.0,126
99,2024-01-05,5,201,10,250.0,5.0,245.0,126
100,2024-01-05,5,202,20,1000.0,0.0,1000.0,126
101,2024-01-06,1,101,36,108.0,0.0,108.0,73
102,2024-01-06,1,102,54,270.0,0.0,270.0,73
103,2024-01-06,1,201,12,300.0,0.0,300.0,73
104,2024-01-06,1,202,8,400.0,0.0,400.0,73
105,2024-01-06,2,101,21,63.0,0.0,63.0,60
106,2024-01-06,2,102,37,185.0,3.7,181.3,60
107,2024-01-06,2,201,4,100.0,5.0,95.0,60
108,2024-01-06,2,202,10,500.0,0.0,500.0,60
109,2024-01-06,3,101,83,249.0,0.0,249.0,125
110,2024-01-06,3,102,98,490.0,0.0,490.0,125
111,2024-01-06,3,201,23,575.0,0.0,575.0,125
112,2024-01-06,3,202,10,500.0,0.0,500.0,125
113,2024-01-06,4,101,71,213.0,0.0,213.0,98
114,2024-01-06,4,102,53,265.0,0.0,265.0,98
115,2024-01-06,4,201,11,275.0,0.0,275.0,98
116,2024-01-06,4,202,10,500.0,0.0,500.0,98
117,2024-01-06,5,101,83,249.0,0.0,249.0,124
118,2024-01-06,5,102,77,385.0,0.0,385.0,124
119,2024-01-06,5,201,21,525.0,26.25,498.75,124
120,2024-01-06,5,202,16,800.0,16.0,784.0,124
121,2024-01-07,1,101,61,183.0,3.66,179.34,121
122,2024-01-07,1,102,67,335.0,0.0,335.0,121
123,2024-01-07,1,201,14,350.0,0.0,350.0,121
